DrugBank ID,Smiles,Name,Predicted negative probability,Predicted positive probability,Predicted classification
DB11581,Clc1ccc(cc1)C=1CC(CCC=1CN1CCN(CC1)c1cc(Oc2cc3cc[nH]c3nc2)c(cc1)C(=O)NS(=O)(=O)c1cc([N+](=O)[O-])c(NCC2CCOCC2)cc1)(C)C,Venetoclax,1.65E-01,8.35E-01,1
DB11575,S(=O)(=O)(N=C(O)[C@@]1(N=C(O)[C@H]2N3C[C@H](Oc4nc5cc(OC)ccc5nc4CCCCC[C@H]4[C@H](OC(O)=N[C@@H](C(C)(C)C)C3=O)C4)C2)C[C@H]1C=C)C1CC1,Grazoprevir,6.85E-01,3.15E-01,0
DB11574,O1c2cc(ccc2-c2n(c3c(cc(cc3)-c3nc([nH]c3)[C@H]3N(CCC3)C(=O)[C@@H](NC(OC)=O)C(C)C)c2)[C@@H]1c1ccccc1)-c1nc([nH]c1)[C@H]1N(CCC1)C(=O)[C@@H](NC(OC)=O)C(C)C,Elbasvir,1.49E-01,8.51E-01,1
DB11560,Brc1nnc(SCC(O)=O)n1-c1c2c(cccc2)c(cc1)C1CC1,Lesinurad,8.76E-01,1.24E-01,0
DB11367,S1[C@H]2N(C(C(O)=O)=C(OC)C1)C(=O)[C@H]2NC(=O)[C@H](N)C=1CC=CCC=1,Cefroxadine,9.97E-01,3.23E-03,0
DB11364,S1C[C@H](N(C1)C(=O)[C@H]1NC(=O)CC1)C(O)=O,Pidotimod,1.00E+00,1.46E-04,0
DB11363,O1CCN(CC1)C1CCN(CC1)c1cc2c(cc1CC)C(=O)c1c([nH]c3cc(ccc13)C#N)C2(C)C,Alectinib,5.87E-02,9.41E-01,1
DB11362,S(=O)(=O)(NC(=O)COCCCCN(C(C)C)c1nc(c(nc1)-c1ccccc1)-c1ccccc1)C,Selexipag,3.56E-01,6.44E-01,1
DB11245,O=C1NC(CC1)C(O)=O,Pyroglutamate,1.00E+00,1.86E-04,0
DB09570,Clc1ccc(Cl)cc1C(O)=NCC(O)=N[C@@H](CC(C)C)B(O)O,Ixazomib,9.37E-01,6.27E-02,0
DB09526,Oc1ccc(O)cc1,Hydroquinone,9.99E-01,5.16E-04,0
DB09495,O(C)c1ccc(cc1)C(=O)CC(=O)c1ccc(cc1)C(C)(C)C,Avobenzone,7.31E-01,2.69E-01,0
